concept_set_id,concept_set_name,project_id,assigned_informatician,assigned_sme,status,stage,intention,n3c_reviewer,alias,archived,created_by,created_at
[VSAC] Arrhythmia,[VSAC] Arrhythmia,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to represent concepts of a diagnosis of arrhythmia.; Data Element Scope: This value set may use a model element related to Diagnosis.; Inclusion Criteria: Includes concepts that represent a diagnosis of arrhythmia.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.172Z
[VSAC] Congenital Malformations,[VSAC] Congenital Malformations,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to identify diagnoses of congenital malformations.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of a congenital malformation.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.189Z
[VSAC] Disseminated Intravascular Coagulation,[VSAC] Disseminated Intravascular Coagulation,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to identify diagnoses of disseminated intravascular coagulation (DIC).; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of disseminated intravascular coagulation (DIC).,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.189Z
[VSAC] Eclampsia,[VSAC] Eclampsia,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to identify diagnoses of eclampsia.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of an eclampsia.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.189Z
[VSAC] Hypertension,[VSAC] Hypertension,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to identify diagnoses of pre-hypertension.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of pre-existing hypertension.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.189Z
[VSAC] Mental Health Disorder,[VSAC] Mental Health Disorder,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: The purpose of this value set is to identify diagnoses of mental health disorder.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of mental health disorder related to psychotic, nonpsychotic, and mood disorders.",,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.190Z
[VSAC] Neuromuscular Disease,[VSAC] Neuromuscular Disease,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to identify diagnoses of neuromuscular disease.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of a neuromuscular disease.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.190Z
[VSAC] Pulmonary Hypertension,[VSAC] Pulmonary Hypertension,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to identify diagnoses of pulmonary hypertension.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of a pulmonary hypertension.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.190Z
[VSAC] Sepsis,[VSAC] Sepsis,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to identify diagnoses of sepsis.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of sepsis.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.190Z
[VSAC] Sickle Cell Disease,[VSAC] Sickle Cell Disease,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: This value set contains concepts that represent sickle cell disease and related blood disorders; Data Element Scope: This value set may use Quality Data Model (QDM) category related diagnosis.; Inclusion Criteria: Includes only relevant SNOMED concepts associated with the diagnosis representing sickle cells disease and related blood disorders.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.191Z
[VSAC] Brain Tumor,[VSAC] Brain Tumor,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: This value set contains concepts that represent a diagnosis of of a brain tumor.; Data Element Scope: This value set may use the Quality Data Model (QDM) category related to Diagnosis.; Inclusion Criteria: This value set may use the Quality Data Model (QDM) category related to Diagnosis.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.191Z
[VSAC] Headache,[VSAC] Headache,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: This value set contains concepts that indicate a headache.; Data Element Scope: This value set may use the Quality Data Model (QDM) category related to Symptom.; Inclusion Criteria: Includes only relevant concepts associated with a headache.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.191Z
[VSAC] Pulmonary Embolism or DVT,[VSAC] Pulmonary Embolism or DVT,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: This value set contains concepts associated with diagnoses of pulmonary embolism or deep vein thrombosis.; Data Element Scope: This value set may use the Quality Data Model (QDM) category related to Diagnosis.; Inclusion Criteria: Includes only relevant concepts associated with  deep vein thrombosis or thrombophlebitis, or pulmonary embolisms (eg, amniotic fluid embolisms).",,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.191Z
[VSAC] Dementia & Mental Degenerations,[VSAC] Dementia & Mental Degenerations,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to represent concepts for diagnoses of dementia or mental degenerations.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that represent a diagnosis for dementia and mental degeneration.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.191Z
[VSAC] epilepsy (active) SNOMED,[VSAC] epilepsy (active) SNOMED,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: ; Data Element Scope: ; Inclusion Criteria: ,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.192Z
[VSAC] Multiple Sclerosis (SNOMED),[VSAC] Multiple Sclerosis (SNOMED),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: This set of values contains SNOMED diagnostic codes for multiple sclerosis (MS).; Data Element Scope: The intent of this value set is to identify patients diagnosed with MS. Using the Quality Data Model this element would map to the Diagnosis category.; Inclusion Criteria: Does include SNOMED codes for MS,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.192Z
[VSAC] Parkinson's Disease (SNOMED),[VSAC] Parkinson's Disease (SNOMED),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: This value set includes SNOMED concepts for Parkinson's Disease.; Data Element Scope: The intent of this data element is to identify patients with Parkinson's Disease. This element may map to the ""Diagnosis"" Category of the Quality Data Model.; Inclusion Criteria: Parkinson's disease",,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.192Z
[VSAC] Overweight or Obese,[VSAC] Overweight or Obese,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to identify concepts for overweight or obese.; Data Element Scope: This value set may use a model element related to Diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of overweight or obese.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.192Z
[VSAC] Congenital heart disease (SNOMED),[VSAC] Congenital heart disease (SNOMED),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: This set of values contains diagnoses or problems that represent that the patient has congenital heart disease regardless of the clinical presentation of the condition; Data Element Scope: Diagnoses or problems documented in a clinical record.; Inclusion Criteria: Congenital heart disease,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.193Z
[VSAC] Encephalitis (Disorders) (SNOMED),[VSAC] Encephalitis (Disorders) (SNOMED),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: This set of values contains diagnoses or problems that represent that the patient has Encephalitis regardless of the clinical presentation of the condition; Data Element Scope: Diagnoses or problems documented in a clinical record.; Inclusion Criteria: All disorders or findings related to non disease specific Encephalitis,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.193Z
[VSAC] Meningitis (SNOMED),[VSAC] Meningitis (SNOMED),,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: This set of values contains diagnoses or problems that represent that the patient has Meningitis regardless of the clinical presentation of the condition; Data Element Scope: Diagnoses or problems documented in a clinical record.; Inclusion Criteria: Root1 = Meningitis;,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.193Z
[VSAC] Hematopoietic stem cell transplant,[VSAC] Hematopoietic stem cell transplant,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: Evidence of a hematopoietic stem cell transplant (HSCT) (i.e., bone marrow transplant) in the patient record.; Data Element Scope: Evidence that a HSCT has been performed on the patient. Since SNOMED CT does not provide disorder codes for HSCT, this VS only consists of ""disorder"" codes that represent complications of HSCT.; Inclusion Criteria: SNOMED CT disorder codes that represent complications of HSCTs (regardless of the type of bone marrow/stem cell transplant). Active and inactive codes since inactive codes are not always updated in a patient record.",,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.193Z
[VSAC] Immunosuppressant medications for inflammatory bowel disease or rheumatoid arthritis,[VSAC] Immunosuppressant medications for inflammatory bowel disease or rheumatoid arthritis,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: The purpose of this value set is to represent immunosuppressive drugs that, when used to treat certain diseases, may put a woman at greater risk of cervical neoplasia and cancer than the general population, as defined by the article ""Guidelines for Cervical Cancer Screening in Immunosuppressed Women Without HIV Infection"" (Moscicki et al., 2019).; Data Element Scope: RxNorm codes that represent branded and non-branded immunosuppressive medications used to treat either inflammatory bowel disease or rheumatoid arthritis.; Inclusion Criteria: Includes codes that represent immunosuppressant medications used to treat either inflammatory bowel disease or rheumatoid arthritis.",,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.194Z
"[VSAC] Corticosteroids, Systemic","[VSAC] Corticosteroids, Systemic",,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: ; Data Element Scope: ; Inclusion Criteria: Single-ingredient systemic glucocorticoid corticosteroids,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.194Z
"[VSAC] Bells Palsy, SNOMED codes for AE reporting","[VSAC] Bells Palsy, SNOMED codes for AE reporting",,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: Bells Palsy definition of SNOMED diagnosis codes, for potential identification of potential biologics-related adverse events.; Data Element Scope: This value set may use a model element in the QDM category of Condition/Diagnosis.; Inclusion Criteria: Bells palsy SNOMED diagnosis codes.",,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.195Z
[VSAC] Cancer,[VSAC] Cancer,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to represent concepts for diagnoses of cancer.; Data Element Scope: This value set may use a model element related to Diagnosis.; Inclusion Criteria: Includes concepts that represent a diagnosis of cancer.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.197Z
[VSAC] Brain Injury,[VSAC] Brain Injury,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: Under Development; Data Element Scope: Under Development; Inclusion Criteria: Under Development,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.197Z
[VSAC] Elder Abuse Diagnoses SNOMED CT,[VSAC] Elder Abuse Diagnoses SNOMED CT,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: <insert metadata> -  - The terms in this value set represent the diagnoses associated with Elder Abuse as identified by the Gravity Project; Data Element Scope: Supports the exchange of data for the Gravity SDOH Clinical Care FHIR implementation guide as well as other uses of these SDOH terms.; Inclusion Criteria: Includes SNOMED CT diagnoses that have been identified through the Gravity Project community consensus voting process,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.198Z
[VSAC] Elder Abuse Goals SNOMED CT,[VSAC] Elder Abuse Goals SNOMED CT,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: <insert metadata> -  - The terms in this value set represent the goals associated with Elder Abuse as identified by the Gravity Project; Data Element Scope: Supports the exchange of data for the Gravity SDOH Clinical Care FHIR implementation guide as well as other uses of these SDOH terms.; Inclusion Criteria: Includes SNOMED CT goals that have been identified through the Gravity Project community consensus voting process,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.198Z
[VSAC] Elder Abuse Interventions SNOMED CT,[VSAC] Elder Abuse Interventions SNOMED CT,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: <insert metadata> -  - The terms in this value set represent the interventions associated with Elder Abuse as identified by the Gravity Project; Data Element Scope: Supports the exchange of data for the Gravity SDOH Clinical Care FHIR implementation guide as well as other uses of these SDOH terms.; Inclusion Criteria: Includes SNOMED CT interventions hat have been identified through the Gravity Project community consensus voting process,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.198Z
[VSAC] Financial Insecurity Goals SNOMED CT,[VSAC] Financial Insecurity Goals SNOMED CT,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: <insert metadata> -  - The terms in this value set represent the goals associated with financial insecurity as identified by the Gravity Project; Data Element Scope: Supports the exchange of data for the Gravity SDOH Clinical Care FHIR implementation guide as well as other uses of this SDOH terms.; Inclusion Criteria: Includes SNOMED CT goals that have been identified through the Gravity Project community consensus voting process,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.198Z
[VSAC] Food Insecurity Diagnoses SNOMEDCT,[VSAC] Food Insecurity Diagnoses SNOMEDCT,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: <insert metadata> - The terms in this value set represent the diagnoses associated with food insecurity as identified by the Gravity Project; Data Element Scope: Supports the exchange of data for the Gravity SDOH Clinical Care FHIR implementation guide as well as other uses of these SDOH terms.; Inclusion Criteria: Includes SNOMED CT diagnoses that have been identified through the Gravity Project community consensus voting process,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.198Z
[VSAC] Food Insecurity Goals SNOMEDCT,[VSAC] Food Insecurity Goals SNOMEDCT,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: <insert metadata> -  - The terms in this value set represent the goals associated with Food Insecurity Domain as identified by the Gravity Project.; Data Element Scope: Supports the exchange of data for the Gravity SDOH Clinical Care FHIR implementation guide as well as other uses of these SDOH terms.; Inclusion Criteria: Includes SNOMEDCT goals that have been identified through the Gravity Project community consensus voting process,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.199Z
[VSAC] Food Insecurity Interventions SNOMEDCT,[VSAC] Food Insecurity Interventions SNOMEDCT,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: <insert metadata> -  - The terms in this value set represent the interventions  associated with food insecurity as identified by the Gravity Project; Data Element Scope: Supports the exchange of data for the Gravity SDOH Clinical Care FHIR implementation guide as well as other uses of these SDOH terms.; Inclusion Criteria: Includes SNOMED CT food insecurity interventions that have been identified through the Gravity Project community consensus voting process,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.199Z
[VSAC] Homelessness Diagnoses SNOMEDCT,[VSAC] Homelessness Diagnoses SNOMEDCT,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: <insert metadata> -  - The terms in this value set represent the diagnoses associated with the Homelessness domain as identified by the Gravity Project; Data Element Scope: Supports the exchange of data for the Gravity SDOH Clinical Care FHIR implementation guide as well as other uses of this SDOH terms.; Inclusion Criteria: Includes SNOMED CT diagnoses that have been identified through the Gravity Project community consensus voting process,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.199Z
[VSAC] Homelessness Intervention SNOMEDCT,[VSAC] Homelessness Intervention SNOMEDCT,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: <insert metadata> -  - The terms in this value set represent the interventions associated with Homelessness as identified by the Gravity Project; Data Element Scope: Supports the exchange of data for the Gravity SDOH Clinical Care FHIR implementation guide as well as other uses of this SDOH terms.; Inclusion Criteria: Includes SNOMED CT interventions that have been identified through the Gravity Project community consensus voting process,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.199Z
[VSAC] Housing Instability Diagnoses SNOMEDCT,[VSAC] Housing Instability Diagnoses SNOMEDCT,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: ""<insert metadata> -  - The terms in this value set represent the diagnoses associated with housing instability as identified by the Gravity Project""; Data Element Scope: Supports the exchange of data for the Gravity SDOH Clinical Care FHIR implementation guide as well as other uses of this SDOH terms.; Inclusion Criteria: Includes SNOMED CT diagnoses that have been identified through the Gravity Project community consensus voting process",,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.199Z
[VSAC] Housing Instability Intervention SNOMEDCT,[VSAC] Housing Instability Intervention SNOMEDCT,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: <insert metadata> -  - The terms in this value set represent the interventions associated with housing instability as identified by the Gravity Project; Data Element Scope: Supports the exchange of data for the Gravity SDOH Clinical Care FHIR implementation guide as well as other uses of this SDOH terms.; Inclusion Criteria: Includes SNOMEDCT interventions that have been identified through the Gravity Project community consensus voting process,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.200Z
[VSAC] Inadequate Housing Diagnoses SNOMEDCT,[VSAC] Inadequate Housing Diagnoses SNOMEDCT,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: ""<insert metadata> -  - The terms in this value set represent the diagnoses associated with inadequate housing as identified by the Gravity Project""; Data Element Scope: Supports the exchange of data for the Gravity SDOH Clinical Care FHIR implementation guide as well as other uses of this SDOH terms.; Inclusion Criteria: Includes SNOMED CT diagnoses that have been identified through the Gravity Project community consensus voting process",,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.200Z
[VSAC] Inadequate Housing Goals SNOMED CT,[VSAC] Inadequate Housing Goals SNOMED CT,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: ""<insert metadata> -  - The terms in this value set represent the goals associated with inadequate housing as identified by the Gravity Project""; Data Element Scope: Supports the exchange of data for the Gravity SDOH Clinical Care FHIR implementation guide as well as other uses of this SDOH terms.; Inclusion Criteria: Includes SNOMED CT goals that have been identified through the Gravity Project community consensus voting process",,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.200Z
[VSAC] Inadequate Housing Interventions SNOMED CT,[VSAC] Inadequate Housing Interventions SNOMED CT,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: ""<insert metadata> -  - The terms in this value set represent the interventions associated with inadequate housing as identified by the Gravity Project""; Data Element Scope: Supports the exchange of data for the Gravity SDOH Clinical Care FHIR implementation guide as well as other uses of this SDOH terms.; Inclusion Criteria: Includes SNOMED CT interventions that have been identified through the Gravity Project community consensus voting process",,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.200Z
[VSAC] Intimate Partner Violence Diagnoses SNOMED CT,[VSAC] Intimate Partner Violence Diagnoses SNOMED CT,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: <insert metadata> -  The terms in this value set represent the diagnoses associated with Intimate Partner Violence as identified by the Gravity Project; Data Element Scope: Supports the exchange of data for the Gravity SDOH Clinical Care FHIR implementation guide as well as other uses of these SDOH terms.; Inclusion Criteria: Includes SNOMED CT diagnoses that have been identified through the Gravity Project community consensus voting process,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.200Z
[VSAC] Intimate Partner Violence Goals SNOMED CT,[VSAC] Intimate Partner Violence Goals SNOMED CT,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: <insert metadata> -  - The terms in this value set represent the goals associated with Intimate Partner Violence as identified by the Gravity Project; Data Element Scope: Supports the exchange of data for the Gravity SDOH Clinical Care FHIR implementation guide as well as other uses of these SDOH terms.; Inclusion Criteria: Includes SNOMED CT goals that have been identified through the Gravity Project community consensus voting process,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.200Z
[VSAC] Intimate Partner Violence Interventions SNOMED CT,[VSAC] Intimate Partner Violence Interventions SNOMED CT,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: <insert metadata> -  - The terms in this value set represent the interventions associated with Intimate Partner Violence as identified by the Gravity Project; Data Element Scope: Supports the exchange of data for the Gravity SDOH Clinical Care FHIR implementation guide as well as other uses of these SDOH terms.; Inclusion Criteria: Includes SNOMED CT interventions that have been identified through the Gravity Project community consensus voting process,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.201Z
[VSAC] Less than high school education Goals SNOMED CT,[VSAC] Less than high school education Goals SNOMED CT,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: <insert metadata> -  - The terms in this value set represent the goals  associated with Less than high school education as identified by the Gravity Project; Data Element Scope: Supports the exchange of data for the Gravity SDOH Clinical Care FHIR implementation guide as well as other uses of these SDOH terms.; Inclusion Criteria: Includes SNOMED CT goals that have been identified through the Gravity Project community consensus voting process,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.201Z
[VSAC] Material Hardship Diagnoses SNOMED CT,[VSAC] Material Hardship Diagnoses SNOMED CT,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: <insert metadata> -  - The terms in this value set represent the diagnoses associated with material hardship as identified by the Gravity Project; Data Element Scope: Supports the exchange of data for the Gravity SDOH Clinical Care FHIR implementation guide as well as other uses of this SDOH terms.; Inclusion Criteria: Includes SNOMED CT diagnoses that have been identified through the Gravity Project community consensus voting process,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.201Z
[VSAC] Material Hardship Goals SNOMED CT,[VSAC] Material Hardship Goals SNOMED CT,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: <insert metadata> -  - The terms in this value set represent the goals associated with material hardship as identified by the Gravity Project; Data Element Scope: Supports the exchange of data for the Gravity SDOH Clinical Care FHIR implementation guide as well as other uses of this SDOH terms.; Inclusion Criteria: Includes SNOMED CT goals that have been identified through the Gravity Project community consensus voting process,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.201Z
[VSAC] Social Connection Diagnoses SNOMED CT,[VSAC] Social Connection Diagnoses SNOMED CT,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: <insert metadata> -  The terms in this value set represent the diagnoses associated with Social Connection as identified by the Gravity Project; Data Element Scope: Supports the exchange of data for the Gravity SDOH Clinical Care FHIR implementation guide as well as other uses of these SDOH terms.; Inclusion Criteria: Includes SNOMED CT diagnoses that have been identified through the Gravity Project community consensus voting process,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T15:14:17.201Z
